Sample,BankTime,CensusTime,diabetesTime
0,287670002,88056372,252225449
1,388264953,109523952,262945512
2,265302403,113172089,298186893
3,445879613,88942199,233928058
4,347607924,111010945,390650056
5,340262585,134951310,513033434
6,468601011,99586947,219553104
7,273384020,82093625,478846081
8,538677699,86612912,232452820
9,261289151,68408119,253158470
10,482124975,83916417,219474523
11,321963785,95892073,450377093
12,371173348,73595006,408223306
13,353314992,97478691,274633024
14,371140893,106564918,316825872
15,516726218,119859421,297484714
16,360601021,75339974,315375544
17,586276817,110468344,318450153
18,618663550,84436478,290720859
19,630843764,110545310,481329740
