Sample,BankTime,CensusTime,diabetesTime
0,13384563,11885554,13684369
1,11927416,11527010,11157384
2,12849805,11131684,10521717
3,11999899,10503744,13605314
4,12350077,12183849,13636940
5,10661262,11653485,13257214
6,12391573,13219050,12053737
7,11705769,12389846,12039191
8,11709177,11305866,11989834
9,12913754,11277708,11391204
10,11845600,11009183,10625793
11,11886962,11786830,11905124
12,12387267,10764340,11064857
13,10706988,11335115,10958901
14,10738560,10712881,10684266
15,10750220,10523707,11083759
16,11109877,12093787,11264762
17,11622124,11302041,11302711
18,10725342,11764574,10942913
19,11474560,11399715,12977737
