Sample,BankTime,CensusTime,diabetesTime
0,86361886,36830334,70253321
1,118724356,38003737,68724377
2,87817535,38365560,83005478
3,235406018,32440435,61256199
4,113645870,77564696,124553393
5,108295772,58815171,189358954
6,324316880,39528625,72059635
7,106827308,28341473,116229880
8,226980227,30677502,57097675
9,70060294,28479032,84434909
10,169701432,29094075,62845121
11,147682106,35454816,136165449
12,181440222,28964964,109349113
13,124152146,35583392,65206879
14,138476654,46654919,59445551
15,163494827,56823719,71042050
16,145923681,39230250,85442459
17,330947228,70059133,54049719
18,265468846,29385026,54388599
19,240283628,50774215,98740033
